sis_estado_id,sis_estado_ibge,sis_estado_descricao,sis_estado_sigla
1,12,ACRE,AC
2,27,ALAGOAS,AL
3,16,AMAPÁ,AP
4,13,AMAZONAS,AM
5,29,BAHIA,BA
6,23,CEARÁ,CE
7,53,"DISTRITO FEDERAL",DF
8,32,"ESPÍRITO SANTO",ES
9,52,GOIÁS,GO
10,21,MARANHÃO,MA
11,51,"MATO GROSSO",MT
12,50,"MATO GROSSO DO SUL",MS
13,31,"MINAS GERAIS",MG
14,15,PARÁ,PA
15,25,PARAÍBA,PB
16,41,PARANÁ,PR
17,26,PERNAMBUCO,PE
18,22,PIAUÍ,PI
19,33,"RIO DE JANEIRO",RJ
20,24,"RIO GRANDE DO NORTE",RN
21,43,"RIO GRANDE DO SUL",RS
22,11,RONDÔNIA,RO
23,14,RORAIMA,RR
24,42,"SANTA CATARINA",SC
25,35,"SÃO PAULO",SP
26,28,SERGIPE,SE
27,17,TOCANTINS,TO
