sis_municipio_id,sis_estado_id,sis_municipio_ibge,sis_municipio_descricao
1,22,1100015,"ALTA FLORESTA D'OESTE"
2,22,1100023,ARIQUEMES
3,22,1100031,CABIXI
4,22,1100049,CACOAL
5,22,1100056,CEREJEIRAS
6,22,1100064,"COLORADO DO OESTE"
7,22,1100072,CORUMBIARA
8,22,1100080,"COSTA MARQUES"
9,22,1100098,"ESPIGÃO D'OESTE"
10,22,1100106,GUAJARÁ-MIRIM
11,22,1100114,JARU
12,22,1100122,JI-PARANÁ
13,22,1100130,"MACHADINHO D'OESTE"
14,22,1100148,"NOVA BRASILÂNDIA D'OESTE"
15,22,1100155,"OURO PRETO DO OESTE"
16,22,1100189,"PIMENTA BUENO"
17,22,1100205,"PORTO VELHO"
18,22,1100254,"PRESIDENTE MÉDICI"
19,22,1100262,"RIO CRESPO"
20,22,1100288,"ROLIM DE MOURA"
21,22,1100296,"SANTA LUZIA D'OESTE"
22,22,1100304,VILHENA
23,22,1100320,"SÃO MIGUEL DO GUAPORÉ"
24,22,1100338,"NOVA MAMORÉ"
25,22,1100346,"ALVORADA D'OESTE"
26,22,1100379,"ALTO ALEGRE DOS PARECIS"
27,22,1100403,"ALTO PARAÍSO"
28,22,1100452,BURITIS
29,22,1100502,"NOVO HORIZONTE DO OESTE"
30,22,1100601,CACAULÂNDIA
31,22,1100700,"CAMPO NOVO DE RONDÔNIA"
32,22,1100809,"CANDEIAS DO JAMARI"
33,22,1100908,CASTANHEIRAS
34,22,1100924,CHUPINGUAIA
35,22,1100940,CUJUBIM
36,22,1101005,"GOVERNADOR JORGE TEIXEIRA"
37,22,1101104,"ITAPUÃ DO OESTE"
38,22,1101203,"MINISTRO ANDREAZZA"
39,22,1101302,"MIRANTE DA SERRA"
40,22,1101401,"MONTE NEGRO"
41,22,1101435,"NOVA UNIÃO"
42,22,1101450,PARECIS
43,22,1101468,"PIMENTEIRAS DO OESTE"
44,22,1101476,"PRIMAVERA DE RONDÔNIA"
45,22,1101484,"SÃO FELIPE D'OESTE"
46,22,1101492,"SÃO FRANCISCO DO GUAPORÉ"
47,22,1101500,SERINGUEIRAS
48,22,1101559,TEIXEIRÓPOLIS
49,22,1101609,THEOBROMA
50,22,1101708,URUPÁ
51,22,1101757,"VALE DO ANARI"
52,22,1101807,"VALE DO PARAÍSO"
53,1,1200013,ACRELÂNDIA
54,1,1200054,"ASSIS BRASIL"
55,1,1200104,BRASILÉIA
56,1,1200138,BUJARI
57,1,1200179,CAPIXABA
58,1,1200203,"CRUZEIRO DO SUL"
59,1,1200252,EPITACIOLÂNDIA
60,1,1200302,FEIJÓ
61,1,1200328,JORDÃO
